bin_id	sample_id	classification	mag_path	gtdb_file	Bin Id	Completeness	Contamination
UHM893.23051_R.bin.124	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM893.23051_R.bin.124.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/classify/gtdbtk.bac120.summary.tsv			
UHM893.23051_R.bin.50	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM893.23051_R.bin.50.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/classify/gtdbtk.bac120.summary.tsv			
UHM893.23051_R.bin.63	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG3077;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM893.23051_R.bin.63.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/classify/gtdbtk.bac120.summary.tsv			
UHM893.23051_R.bin.71	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM893.23051_R.bin.71.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/classify/gtdbtk.bac120.summary.tsv			
UHM893.23051_R.bin.76	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Firm-04;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM893.23051_R.bin.76.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/classify/gtdbtk.bac120.summary.tsv			
UHM893.23051_R.bin.97	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM893.23051_R.bin.97.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM893.23051/classify/gtdbtk.bac120.summary.tsv			
UHM207.41070_R.bin.116	UHM207.41070	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM207.41070/bins/UHM207.41070_R.bin.116.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM207.41070/gtdbtk.bac120.summary.tsv			
UHM207.41070_R.bin.14	UHM207.41070	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM207.41070/bins/UHM207.41070_R.bin.14.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM207.41070/gtdbtk.bac120.summary.tsv			
UHM207.41070_R.bin.45	UHM207.41070	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM207.41070/bins/UHM207.41070_R.bin.45.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM207.41070/gtdbtk.bac120.summary.tsv			
UHM207.41070_R.bin.56	UHM207.41070	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM207.41070/bins/UHM207.41070_R.bin.56.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM207.41070/gtdbtk.bac120.summary.tsv			
UHM207.41070_R.bin.67	UHM207.41070	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM207.41070/bins/UHM207.41070_R.bin.67.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM207.41070/gtdbtk.bac120.summary.tsv			
UHM207.41070_R.bin.92	UHM207.41070	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM207.41070/bins/UHM207.41070_R.bin.92.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM207.41070/gtdbtk.bac120.summary.tsv			
UHM207.41070_R.bin.116	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM207.41070_R.bin.116.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM207.41070/classify/gtdbtk.bac120.summary.tsv			
UHM207.41070_R.bin.14	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM207.41070_R.bin.14.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM207.41070/classify/gtdbtk.bac120.summary.tsv			
UHM207.41070_R.bin.45	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM207.41070_R.bin.45.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM207.41070/classify/gtdbtk.bac120.summary.tsv			
UHM207.41070_R.bin.56	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM207.41070_R.bin.56.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM207.41070/classify/gtdbtk.bac120.summary.tsv			
UHM207.41070_R.bin.67	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM207.41070_R.bin.67.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM207.41070/classify/gtdbtk.bac120.summary.tsv			
UHM207.41070_R.bin.92	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM207.41070_R.bin.92.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM207.41070/classify/gtdbtk.bac120.summary.tsv			
UHM41.35757_R.bin.14	UHM41.35757	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM41.35757/bins/UHM41.35757_R.bin.14.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM41.35757/gtdbtk.bac120.summary.tsv	UHM41.35757_R.bin.14	37.93	0.0
UHM41.35757_R.bin.7	UHM41.35757	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM41.35757/bins/UHM41.35757_R.bin.7.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM41.35757/gtdbtk.bac120.summary.tsv	UHM41.35757_R.bin.7	55.7	0.0
UHM41.35757_R.bin.14	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM41.35757_R.bin.14.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM41.35757/classify/gtdbtk.bac120.summary.tsv			
UHM41.35757_R.bin.7	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/UHM41.35757_R.bin.7.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM41.35757/classify/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.100	STP51B.12603	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fimivivens;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP51B.12603/bins/STP51B.12603_R.bin.100.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.139	STP51B.12603	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP51B.12603/bins/STP51B.12603_R.bin.139.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.144	STP51B.12603	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP51B.12603/bins/STP51B.12603_R.bin.144.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.149	STP51B.12603	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP51B.12603/bins/STP51B.12603_R.bin.149.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.154	STP51B.12603	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP51B.12603/bins/STP51B.12603_R.bin.154.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.24	STP51B.12603	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP51B.12603/bins/STP51B.12603_R.bin.24.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.28	STP51B.12603	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP51B.12603/bins/STP51B.12603_R.bin.28.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.34	STP51B.12603	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP51B.12603/bins/STP51B.12603_R.bin.34.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.37	STP51B.12603	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP51B.12603/bins/STP51B.12603_R.bin.37.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.41	STP51B.12603	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP51B.12603/bins/STP51B.12603_R.bin.41.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.74	STP51B.12603	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP51B.12603/bins/STP51B.12603_R.bin.74.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.100	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fimivivens;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/STP51B.12603_R.bin.100.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/classify/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.139	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/STP51B.12603_R.bin.139.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/classify/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.144	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/STP51B.12603_R.bin.144.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/classify/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.149	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/STP51B.12603_R.bin.149.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/classify/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.154	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/STP51B.12603_R.bin.154.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/classify/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.24	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/STP51B.12603_R.bin.24.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/classify/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.28	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/STP51B.12603_R.bin.28.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/classify/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.34	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/STP51B.12603_R.bin.34.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/classify/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.37	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/STP51B.12603_R.bin.37.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/classify/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.41	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/STP51B.12603_R.bin.41.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/classify/gtdbtk.bac120.summary.tsv			
STP51B.12603_R.bin.74	classify	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/classify/bins/STP51B.12603_R.bin.74.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP51B.12603/classify/gtdbtk.bac120.summary.tsv			
UHM982.23046_R.bin.106	UHM982.23046	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM982.23046/bins/UHM982.23046_R.bin.106.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM982.23046/gtdbtk.bac120.summary.tsv	UHM982.23046_R.bin.106	6.04	0.0
UHM982.23046_R.bin.108	UHM982.23046	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM982.23046/bins/UHM982.23046_R.bin.108.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM982.23046/gtdbtk.bac120.summary.tsv	UHM982.23046_R.bin.108	33.93	0.34
UHM982.23046_R.bin.11	UHM982.23046	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM982.23046/bins/UHM982.23046_R.bin.11.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM982.23046/gtdbtk.bac120.summary.tsv	UHM982.23046_R.bin.11	52.64	1.34
UHM982.23046_R.bin.118	UHM982.23046	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM982.23046/bins/UHM982.23046_R.bin.118.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM982.23046/gtdbtk.bac120.summary.tsv	UHM982.23046_R.bin.118	96.98	0.0
UHM982.23046_R.bin.122	UHM982.23046	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM982.23046/bins/UHM982.23046_R.bin.122.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM982.23046/gtdbtk.bac120.summary.tsv	UHM982.23046_R.bin.122	90.88	0.67
UHM982.23046_R.bin.123	UHM982.23046	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM982.23046/bins/UHM982.23046_R.bin.123.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM982.23046/gtdbtk.bac120.summary.tsv	UHM982.23046_R.bin.123	47.35	0.0
UHM982.23046_R.bin.132	UHM982.23046	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM982.23046/bins/UHM982.23046_R.bin.132.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM982.23046/gtdbtk.bac120.summary.tsv	UHM982.23046_R.bin.132	82.79	1.34
UHM982.23046_R.bin.145	UHM982.23046	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM982.23046/bins/UHM982.23046_R.bin.145.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM982.23046/gtdbtk.bac120.summary.tsv	UHM982.23046_R.bin.145	69.92	0.78
