bin_id	sample_id	classification	mag_path	gtdb_file	Bin Id	Completeness	Contamination	quality_score
UHM1225.41101_R.bin.195	UHM1225.41101	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1225.41101/bins/UHM1225.41101_R.bin.195.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1225.41101/gtdbtk.bac120.summary.tsv	UHM1225.41101_R.bin.195	97.96	0.0	97.96
UHM907.23058_R.bin.94	UHM907.23058	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM907.23058/bins/UHM907.23058_R.bin.94.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM907.23058/gtdbtk.bac120.summary.tsv	UHM907.23058_R.bin.94	97.73	0.0	97.73
UHM892.23050_R.bin.69	UHM892.23050	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM892.23050/bins/UHM892.23050_R.bin.69.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM892.23050/gtdbtk.bac120.summary.tsv	UHM892.23050_R.bin.69	97.32	0.0	97.32
UHM979.23045_R.bin.46	UHM979.23045	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM979.23045/bins/UHM979.23045_R.bin.46.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM979.23045/gtdbtk.bac120.summary.tsv	UHM979.23045_R.bin.46	97.32	0.0	97.32
UHM907.23058_R.bin.73	UHM907.23058	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM907.23058/bins/UHM907.23058_R.bin.73.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM907.23058/gtdbtk.bac120.summary.tsv	UHM907.23058_R.bin.73	97.32	0.0	97.32
UHM1225.23071_R.bin.183	UHM1225.23071	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1225.23071/bins/UHM1225.23071_R.bin.183.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1225.23071/gtdbtk.bac120.summary.tsv	UHM1225.23071_R.bin.183	97.28	0.0	97.28
UHM907.23058_R.bin.69	UHM907.23058	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM907.23058/bins/UHM907.23058_R.bin.69.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM907.23058/gtdbtk.bac120.summary.tsv	UHM907.23058_R.bin.69	97.26	0.0	97.26
STP672.12605_R.bin.100	STP672.12605	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAUNTE01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP672.12605/bins/STP672.12605_R.bin.100.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP672.12605/gtdbtk.bac120.summary.tsv	STP672.12605_R.bin.100	97.05	0.0	97.05
UHM982.23046_R.bin.118	UHM982.23046	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM982.23046/bins/UHM982.23046_R.bin.118.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM982.23046/gtdbtk.bac120.summary.tsv	UHM982.23046_R.bin.118	96.98	0.0	96.98
STP294.12602_R.bin.156	STP294.12602	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP294.12602/bins/STP294.12602_R.bin.156.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP294.12602/gtdbtk.bac120.summary.tsv	STP294.12602_R.bin.156	96.98	0.0	96.98
UHM1327.41103_R.bin.53	UHM1327.41103	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilioclostridium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1327.41103/bins/UHM1327.41103_R.bin.53.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1327.41103/gtdbtk.bac120.summary.tsv	UHM1327.41103_R.bin.53	98.66	0.34	96.96
UHM1110.41099_R.bin.233	UHM1110.41099	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1110.41099/bins/UHM1110.41099_R.bin.233.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1110.41099/gtdbtk.bac120.summary.tsv	UHM1110.41099_R.bin.233	96.64	0.0	96.64
UHM899.23043_R.bin.120	UHM899.23043	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA5884;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM899.23043/bins/UHM899.23043_R.bin.120.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM899.23043/gtdbtk.bac120.summary.tsv	UHM899.23043_R.bin.120	96.64	0.0	96.64
UHM899.23043_R.bin.161	UHM899.23043	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFIE01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM899.23043/bins/UHM899.23043_R.bin.161.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM899.23043/gtdbtk.bac120.summary.tsv	UHM899.23043_R.bin.161	96.6	0.0	96.6
UHM984.23047_R.bin.177	UHM984.23047	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAGPHI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM984.23047/bins/UHM984.23047_R.bin.177.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM984.23047/gtdbtk.bac120.summary.tsv	UHM984.23047_R.bin.177	96.6	0.0	96.6
UHM984.41091_R.bin.188	UHM984.41091	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAHHTP01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM984.41091/bins/UHM984.41091_R.bin.188.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM984.41091/gtdbtk.bac120.summary.tsv	UHM984.41091_R.bin.188	96.31	0.02	96.21000000000001
UHM989.41093_R.bin.69	UHM989.41093	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM989.41093/bins/UHM989.41093_R.bin.69.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM989.41093/gtdbtk.bac120.summary.tsv	UHM989.41093_R.bin.69	97.65	0.34	95.95
UHM979.23045_R.bin.66	UHM979.23045	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM979.23045/bins/UHM979.23045_R.bin.66.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM979.23045/gtdbtk.bac120.summary.tsv	UHM979.23045_R.bin.66	95.92	0.0	95.92
UHM1228.41102_R.bin.62	UHM1228.41102	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1228.41102/bins/UHM1228.41102_R.bin.62.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1228.41102/gtdbtk.bac120.summary.tsv	UHM1228.41102_R.bin.62	95.92	0.0	95.92
UHM1171.41104_R.bin.28	UHM1171.41104	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAHHTP01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1171.41104/bins/UHM1171.41104_R.bin.28.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1171.41104/gtdbtk.bac120.summary.tsv	UHM1171.41104_R.bin.28	95.64	0.0	95.64
UHM897.41076_R.bin.26	UHM897.41076	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM897.41076/bins/UHM897.41076_R.bin.26.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM897.41076/gtdbtk.bac120.summary.tsv	UHM897.41076_R.bin.26	95.64	0.0	95.64
UHM899.23043_R.bin.10	UHM899.23043	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG4131;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM899.23043/bins/UHM899.23043_R.bin.10.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM899.23043/gtdbtk.bac120.summary.tsv	UHM899.23043_R.bin.10	95.41	0.0	95.41
UHM897.41076_R.bin.130	UHM897.41076	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM897.41076/bins/UHM897.41076_R.bin.130.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM897.41076/gtdbtk.bac120.summary.tsv	UHM897.41076_R.bin.130	95.44	0.02	95.34
UHM1171.23069_R.bin.65	UHM1171.23069	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAGPHI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1171.23069/bins/UHM1171.23069_R.bin.65.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1171.23069/gtdbtk.bac120.summary.tsv	UHM1171.23069_R.bin.65	95.24	0.0	95.24
UHM1080.23066_R.bin.239	UHM1080.23066	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1080.23066/bins/UHM1080.23066_R.bin.239.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1080.23066/gtdbtk.bac120.summary.tsv	UHM1080.23066_R.bin.239	95.97	0.17	95.12
UHM1171.41104_R.bin.60	UHM1171.41104	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1171.41104/bins/UHM1171.41104_R.bin.60.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1171.41104/gtdbtk.bac120.summary.tsv	UHM1171.41104_R.bin.60	98.11	0.68	94.71
UHM897.23053_R.bin.75	UHM897.23053	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG4131;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM897.23053/bins/UHM897.23053_R.bin.75.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM897.23053/gtdbtk.bac120.summary.tsv	UHM897.23053_R.bin.75	96.4	0.34	94.7
UHM17.35739_R.bin.42	UHM17.35739	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM17.35739/bins/UHM17.35739_R.bin.42.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM17.35739/gtdbtk.bac120.summary.tsv	UHM17.35739_R.bin.42	97.99	0.67	94.64
UHM979.23045_R.bin.200	UHM979.23045	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM979.23045/bins/UHM979.23045_R.bin.200.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM979.23045/gtdbtk.bac120.summary.tsv	UHM979.23045_R.bin.200	97.99	0.67	94.64
UHM979.41089_R.bin.53	UHM979.41089	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM979.41089/bins/UHM979.41089_R.bin.53.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM979.41089/gtdbtk.bac120.summary.tsv	UHM979.41089_R.bin.53	94.63	0.0	94.63
UHM904.23055_R.bin.61	UHM904.23055	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM904.23055/bins/UHM904.23055_R.bin.61.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM904.23055/gtdbtk.bac120.summary.tsv	UHM904.23055_R.bin.61	94.41	0.0	94.41
UHM1080.23066_R.bin.72	UHM1080.23066	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1080.23066/bins/UHM1080.23066_R.bin.72.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1080.23066/gtdbtk.bac120.summary.tsv	UHM1080.23066_R.bin.72	94.68	0.06	94.38000000000001
UHM892.23050_R.bin.17	UHM892.23050	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium sp009929695	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM892.23050/bins/UHM892.23050_R.bin.17.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM892.23050/gtdbtk.bac120.summary.tsv	UHM892.23050_R.bin.17	97.62	0.68	94.22
UHM1110.41099_R.bin.111	UHM1110.41099	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1110.41099/bins/UHM1110.41099_R.bin.111.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1110.41099/gtdbtk.bac120.summary.tsv	UHM1110.41099_R.bin.111	94.18	0.0	94.18
UHM41.10835_R.bin.41	UHM41.10835	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massiliimalia;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM41.10835/bins/UHM41.10835_R.bin.41.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM41.10835/gtdbtk.bac120.summary.tsv	UHM41.10835_R.bin.41	95.3	0.24	94.1
UHM984.23047_R.bin.71	UHM984.23047	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM984.23047/bins/UHM984.23047_R.bin.71.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM984.23047/gtdbtk.bac120.summary.tsv	UHM984.23047_R.bin.71	95.24	0.23	94.08999999999999
UHM1073.23039_R.bin.161	UHM1073.23039	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1073.23039/bins/UHM1073.23039_R.bin.161.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1073.23039/gtdbtk.bac120.summary.tsv	UHM1073.23039_R.bin.161	97.32	0.67	93.97
UHM896.23052_R.bin.245	UHM896.23052	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM896.23052/bins/UHM896.23052_R.bin.245.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM896.23052/gtdbtk.bac120.summary.tsv	UHM896.23052_R.bin.245	97.32	0.69	93.86999999999999
UHM1171.41104_R.bin.56	UHM1171.41104	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1171.41104/bins/UHM1171.41104_R.bin.56.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1171.41104/gtdbtk.bac120.summary.tsv	UHM1171.41104_R.bin.56	95.36	0.34	93.66
STP248.12601_R.bin.75	STP248.12601	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__WRAV01;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/STP248.12601/bins/STP248.12601_R.bin.75.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/STP248.12601/gtdbtk.bac120.summary.tsv	STP248.12601_R.bin.75	98.66	1.01	93.61
UHM896.23052_R.bin.304	UHM896.23052	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM896.23052/bins/UHM896.23052_R.bin.304.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM896.23052/gtdbtk.bac120.summary.tsv	UHM896.23052_R.bin.304	95.3	0.34	93.6
UHM1171.23069_R.bin.46	UHM1171.23069	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1171.23069/bins/UHM1171.23069_R.bin.46.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1171.23069/gtdbtk.bac120.summary.tsv	UHM1171.23069_R.bin.46	95.24	0.34	93.53999999999999
UHM1228.23072_R.bin.204	UHM1228.23072	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1228.23072/bins/UHM1228.23072_R.bin.204.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1228.23072/gtdbtk.bac120.summary.tsv	UHM1228.23072_R.bin.204	93.42	0.0	93.42
UHM899.23043_R.bin.25	UHM899.23043	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM899.23043/bins/UHM899.23043_R.bin.25.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM899.23043/gtdbtk.bac120.summary.tsv	UHM899.23043_R.bin.25	96.64	0.67	93.29
UHM1210.23070_R.bin.72	UHM1210.23070	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results/UHM1210.23070/bins/UHM1210.23070_R.bin.72.fa	/bigdata/stajichlab/shared/projects/Herptile/Metagenome/Fecal/results_bins_gtkdb/UHM1210.23070/gtdbtk.bac120.summary.tsv	UHM1210.23070_R.bin.72	96.64	0.67	93.29
